,ten_truyen,duong_dan,luot_xem,xep_hang,danh_gia,theo_doi,binh_luan,tap_moi
124,THE GIRL SITTING NEXT TO ME,https://www.nettruyenin.com/truyen-tranh/the-girl-sitting-next-to-me-67633,51.462,3.7,70,1.094,60,Chapter 9
125,JIJYOU WO SHIRANAI TENKOUSEI GA GUIGUI KURU,https://www.nettruyenin.com/truyen-tranh/jijyou-wo-shiranai-tenkousei-ga-guigui-kuru-67639,13.587,3.5,18,435,35,Chapter 18.5
126,KAISEI NO CARICATURE,https://www.nettruyenin.com/truyen-tranh/kaisei-no-caricature-66814,12.245,3.5,31,1.061,29,Chapter 4
127,KENJA GA NAKAMA NI NATTA!,https://www.nettruyenin.com/truyen-tranh/kenja-ga-nakama-ni-natta-411560,506.964,3.6,714,10.006,729,Chapter 28.5
128,SỰ TRỞ LẠI CỦA ANH HÙNG CẤP THẢM HỌA,https://www.nettruyenin.com/truyen-tranh/su-tro-lai-cua-anh-hung-cap-tham-hoa-555410,7.499.264,3.7,9219,125.710,8.457,Chapter 48
129,CẬU HỌC SINH MỚI THẬT DỨT KHOÁT,https://www.nettruyenin.com/truyen-tranh/cau-hoc-sinh-moi-that-dut-khoat-380040,82.097,3.5,127,2.185,96,Chapter 18.5
130,KUDAMIMI NO NEKO,https://www.nettruyenin.com/truyen-tranh/kudamimi-no-neko-97770,159.999,3.8,221,2.611,213,Chapter 15.1
131,"NẾU LÀ PHẢN DIỆN, LIỆU TÔI SẼ CHẾT?",https://www.nettruyenin.com/truyen-tranh/neu-la-phan-dien-lieu-toi-se-chet-64694,1.164.793,3.8,1727,30.886,1.451,Chapter 28
132,NHỮNG VÌ SAO BẤT TỬ,https://www.nettruyenin.com/truyen-tranh/nhung-vi-sao-bat-tu-67101,98.124,4.4,234,1.822,541,Chapter 16: end
133,TRƯỞNG PHÒNG KIM TẤT THẮNG,https://www.nettruyenin.com/truyen-tranh/truong-phong-kim-tat-thang-67621,22.832,3.5,66,2.399,83,Chapter 4
134,KẾ HOẠCH HƯỚNG DẪN CÔNG TƯỚC HẮC HÓA,https://www.nettruyenin.com/truyen-tranh/ke-hoach-huong-dan-cong-tuoc-hac-hoa-67530,69.085,3.6,155,4.749,70,Chapter 9
135,NGHỊCH TẬP CHI HẢO DỰNG NHÂN SINH,https://www.nettruyenin.com/truyen-tranh/nghich-tap-chi-hao-dung-nhan-sinh-359430,14.220.843,3.9,15658,40.863,3.213,Chapter 245
136,HÃY KHIẾN TÔI GHÉT CẬU,https://www.nettruyenin.com/truyen-tranh/hay-khien-toi-ghet-cau-388030,1.183.765,3.9,1623,9.016,360,Chapter 27
137,TÔI CÓ ĐƯỢC NAM CHÍNH,https://www.nettruyenin.com/truyen-tranh/toi-co-duoc-nam-chinh-658922,111.318,3.5,220,6.475,146,Chapter 12
138,SIERRA,https://www.nettruyenin.com/truyen-tranh/sierra-67370,158.811,4.4,335,3.986,150,Chapter 26
139,"CHUYỆN NÀNG TỬ THẦN YÊU NHÂN LOẠI, CẢ HAI CHỈ NHÌN THẤY NHAU KHI NHÂN LOẠI MỆT GẦN CHẾT!",https://www.nettruyenin.com/truyen-tranh/chuyen-nang-tu-than-yeu-nhan-loai-ca-hai-chi-nhin-thay-nhau-khi-nhan-loai-met-gan-chet-67533,133.290,3.5,214,3.782,256,Chapter 12
